trial_number,params,fold_rmses,mean_rmse
14,"{'lookback': 40, 'filters': 26, 'kernel_size': 3, 'lstm_units': 87, 'dense_units': 30, 'dropout_rate': 0.34988303963868345, 'learning_rate': 0.006793575953654061, 'l2_reg': 0.00018184111408337043, 'batch_size_exp': 4, 'batch_size': 16}","[np.float64(0.0062645670324906096), np.float64(0.0062273853702841196), np.float64(0.012147719172449853), np.float64(0.008830450814458848), np.float64(0.007555294722769764)]",0.008205083422490638
15,"{'lookback': 39, 'filters': 36, 'kernel_size': 2, 'lstm_units': 81, 'dense_units': 37, 'dropout_rate': 0.4638865563427419, 'learning_rate': 0.004745751970172743, 'l2_reg': 0.00024253674042978176, 'batch_size_exp': 4, 'batch_size': 16}","[np.float64(0.006254209709665233), np.float64(0.006223820062213836), np.float64(0.012148777834544782), np.float64(0.00881875250048618), np.float64(0.007558619830906254)]",0.008200835987563257
16,"{'lookback': 40, 'filters': 34, 'kernel_size': 2, 'lstm_units': 80, 'dense_units': 36, 'dropout_rate': 0.4769296370582454, 'learning_rate': 0.004775325100316322, 'l2_reg': 0.0007210290940439366, 'batch_size_exp': 4, 'batch_size': 16}","[np.float64(0.006259381029454082), np.float64(0.006254182696246122), np.float64(0.01215525701371473), np.float64(0.00883597598897373), np.float64(0.007558075904547018)]",0.008212574526587137
17,"{'lookback': 35, 'filters': 28, 'kernel_size': 2, 'lstm_units': 60, 'dense_units': 35, 'dropout_rate': 0.4499582611693256, 'learning_rate': 0.0054720439421580905, 'l2_reg': 0.0002508215765040157, 'batch_size_exp': 5, 'batch_size': 32}","[np.float64(0.006220812882292386), np.float64(0.0062488337072118556), np.float64(0.012150820227500428), np.float64(0.008816591342634258), np.float64(0.007565283966414564)]",0.008200468425210699
18,"{'lookback': 36, 'filters': 26, 'kernel_size': 2, 'lstm_units': 58, 'dense_units': 29, 'dropout_rate': 0.454591519646515, 'learning_rate': 0.003940496402593911, 'l2_reg': 0.00029287260568196537, 'batch_size_exp': 5, 'batch_size': 32}","[np.float64(0.006231868719003727), np.float64(0.0062804094795316035), np.float64(0.012157102895916996), np.float64(0.008831047231329974), np.float64(0.007576363590410776)]",0.008215358383238617
19,"{'lookback': 39, 'filters': 28, 'kernel_size': 2, 'lstm_units': 42, 'dense_units': 32, 'dropout_rate': 0.4772474829841381, 'learning_rate': 0.006009689803860726, 'l2_reg': 0.00025244300420891244, 'batch_size_exp': 5, 'batch_size': 32}","[np.float64(0.006240359947192938), np.float64(0.006222455971599754), np.float64(0.012148049128236254), np.float64(0.008825384156792161), np.float64(0.007557118332982203)]",0.008198673507360662
20,"{'lookback': 31, 'filters': 28, 'kernel_size': 2, 'lstm_units': 40, 'dense_units': 27, 'dropout_rate': 0.44007651422857214, 'learning_rate': 0.007863887623018135, 'l2_reg': 0.0005106354336118953, 'batch_size_exp': 5, 'batch_size': 32}","[np.float64(0.006261250904920756), np.float64(0.006222427089557546), np.float64(0.01214884008764129), np.float64(0.008831713984819335), np.float64(0.00756036155331301)]",0.008204918724050386
21,"{'lookback': 40, 'filters': 28, 'kernel_size': 2, 'lstm_units': 52, 'dense_units': 32, 'dropout_rate': 0.4782474710277279, 'learning_rate': 0.006138020002949472, 'l2_reg': 0.00025304441116497307, 'batch_size_exp': 5, 'batch_size': 32}","[np.float64(0.006251719461841541), np.float64(0.0062448099070610335), np.float64(0.012149166259559634), np.float64(0.00882900430121536), np.float64(0.0076020409212410435)]",0.008215348170183722
22,"{'lookback': 39, 'filters': 28, 'kernel_size': 2, 'lstm_units': 60, 'dense_units': 34, 'dropout_rate': 0.4590698222944022, 'learning_rate': 0.0045681626955512466, 'l2_reg': 0.0003007525597902182, 'batch_size_exp': 5, 'batch_size': 32}","[np.float64(0.006251285867005256), np.float64(0.006226153580878829), np.float64(0.012146582103969869), np.float64(0.008823417727296785), np.float64(0.007579860341548366)]",0.008205459924139822
23,"{'lookback': 42, 'filters': 33, 'kernel_size': 2, 'lstm_units': 47, 'dense_units': 32, 'dropout_rate': 0.43423567125913487, 'learning_rate': 0.005764681353793758, 'l2_reg': 0.000240837608615404, 'batch_size_exp': 5, 'batch_size': 32}","[np.float64(0.006255726609269587), np.float64(0.006244126018773557), np.float64(0.01214196179558206), np.float64(0.008813271089056303), np.float64(0.007572522729912391)]",0.008205521648518779
24,"{'lookback': 36, 'filters': 24, 'kernel_size': 2, 'lstm_units': 76, 'dense_units': 37, 'dropout_rate': 0.4656703329495444, 'learning_rate': 0.006973790121139406, 'l2_reg': 0.00014411664800021508, 'batch_size_exp': 5, 'batch_size': 32}","[np.float64(0.0062842393049757994), np.float64(0.0062412075531440145), np.float64(0.012153458777768626), np.float64(0.008820414579574326), np.float64(0.007556823885233637)]",0.00821122882013928
25,"{'lookback': 34, 'filters': 48, 'kernel_size': 2, 'lstm_units': 64, 'dense_units': 34, 'dropout_rate': 0.44336076648778855, 'learning_rate': 0.005054027908602447, 'l2_reg': 0.00021420839779590428, 'batch_size_exp': 5, 'batch_size': 32}","[np.float64(0.00631820775503712), np.float64(0.006229054622590474), np.float64(0.012145188180787159), np.float64(0.008818382965757274), np.float64(0.007571580478303365)]",0.008216482800495079
26,"{'lookback': 37, 'filters': 28, 'kernel_size': 2, 'lstm_units': 49, 'dense_units': 35, 'dropout_rate': 0.30480926947766807, 'learning_rate': 0.00422938752082429, 'l2_reg': 0.0003492928663449084, 'batch_size_exp': 5, 'batch_size': 32}","[np.float64(0.006238771546755814), np.float64(0.006262924782921157), np.float64(0.01215423108484919), np.float64(0.008825421861043821), np.float64(0.007557108652296698)]",0.008207691585573336
27,"{'lookback': 41, 'filters': 34, 'kernel_size': 2, 'lstm_units': 41, 'dense_units': 31, 'dropout_rate': 0.4678410900957305, 'learning_rate': 0.006815446839923059, 'l2_reg': 0.0001506033364783815, 'batch_size_exp': 5, 'batch_size': 32}","[np.float64(0.00627547817438791), np.float64(0.006253072024971382), np.float64(0.012151426845290449), np.float64(0.008837964479767483), np.float64(0.007584260075211775)]",0.0082204403199258
