seed,best_epoch,best_loss,best_val_loss,rmse_test,r2_test
0,8,0.003199731734308331,0.0027632741110303655,41.13596451471901,0.9944102879230471
1,3,0.0035156337066660753,0.0027625082022042966,41.154045437783736,0.9944053730332777
2,3,0.003679336092026201,0.002749989099115899,41.11943752363214,0.9944147785222107
7,10,0.003199509958824806,0.0027609303715112415,41.126673250011095,0.9944128127030004
11,1,0.01160212096935641,0.0027673355894524,41.44662248570779,0.9943255423435418
17,9,0.003192630901750431,0.0027628865446380005,41.1277530253545,0.9944125193174285
21,4,0.003574936908148193,0.0027622614578590565,41.145649242183424,0.9944076556176545
42,3,0.004479346349702409,0.0027486701779391456,41.163120840742806,0.9944029052762471
99,4,0.0034151480329209054,0.002760427443516761,41.125922167661905,0.9944130167749134
123,5,0.003361897885851148,0.0027610674921953278,41.1176315006254,0.9944152691328598
