trial_number,params,fold_rmses,mean_rmse
14,"{'lookback': 22, 'filters': 38, 'kernel_size': 4, 'lstm_units': 96, 'dense_units': 29, 'dropout_rate': 0.28378994178906586, 'learning_rate': 0.002566395190487433, 'l2_reg': 0.00014069432779477794, 'batch_size_exp': 5, 'batch_size': 32}","[np.float64(0.012933141072944077), np.float64(0.012339195245121934), np.float64(0.026674050577954186), np.float64(0.018752474755887708), np.float64(0.018725285737196683)]",0.01788482947782092
15,"{'lookback': 18, 'filters': 40, 'kernel_size': 3, 'lstm_units': 106, 'dense_units': 44, 'dropout_rate': 0.41616593531951, 'learning_rate': 0.0018575162216377516, 'l2_reg': 0.0003462399707382601, 'batch_size_exp': 5, 'batch_size': 32}","[np.float64(0.012784384730836118), np.float64(0.012304181889705649), np.float64(0.026624595234714766), np.float64(0.01873049740911876), np.float64(0.018691574702493174)]",0.017827046793373692
16,"{'lookback': 13, 'filters': 41, 'kernel_size': 4, 'lstm_units': 115, 'dense_units': 38, 'dropout_rate': 0.32665599389280003, 'learning_rate': 0.0021441504372662064, 'l2_reg': 5.1639953350502096e-05, 'batch_size_exp': 5, 'batch_size': 32}","[np.float64(0.012796683075511047), np.float64(0.012342520814582631), np.float64(0.02680175790902728), np.float64(0.018784645545651287), np.float64(0.018741611464097033)]",0.017893443761773854
17,"{'lookback': 22, 'filters': 36, 'kernel_size': 4, 'lstm_units': 108, 'dense_units': 41, 'dropout_rate': 0.42738825474389647, 'learning_rate': 0.0017434008357959992, 'l2_reg': 0.00010594670864490482, 'batch_size_exp': 5, 'batch_size': 32}","[np.float64(0.012820024104814533), np.float64(0.012461957052765742), np.float64(0.026705976883083297), np.float64(0.018737215159513352), np.float64(0.018710676044906505)]",0.017887169849016685
18,"{'lookback': 15, 'filters': 42, 'kernel_size': 4, 'lstm_units': 102, 'dense_units': 34, 'dropout_rate': 0.38622411459236083, 'learning_rate': 0.0030088831346190012, 'l2_reg': 0.00016235981918605088, 'batch_size_exp': 5, 'batch_size': 32}","[np.float64(0.012761290234123274), np.float64(0.01225495645578285), np.float64(0.026641436881411826), np.float64(0.018749845710508393), np.float64(0.018675995657606217)]",0.01781670498788651
19,"{'lookback': 15, 'filters': 36, 'kernel_size': 3, 'lstm_units': 102, 'dense_units': 34, 'dropout_rate': 0.3825189649971453, 'learning_rate': 0.003005215121487569, 'l2_reg': 0.0003226695741845714, 'batch_size_exp': 5, 'batch_size': 32}","[np.float64(0.012863114537057447), np.float64(0.012365025576048036), np.float64(0.026624339537387916), np.float64(0.018731702022421564), np.float64(0.01869131956154376)]",0.01785510024689175
20,"{'lookback': 12, 'filters': 20, 'kernel_size': 3, 'lstm_units': 96, 'dense_units': 30, 'dropout_rate': 0.398900590023437, 'learning_rate': 0.004448434055254605, 'l2_reg': 0.00020934224822419814, 'batch_size_exp': 5, 'batch_size': 32}","[np.float64(0.012859405441539932), np.float64(0.01223647246946027), np.float64(0.026630051924677885), np.float64(0.01875587618743628), np.float64(0.01870020637260113)]",0.017836402479143098
21,"{'lookback': 18, 'filters': 44, 'kernel_size': 4, 'lstm_units': 102, 'dense_units': 36, 'dropout_rate': 0.4280875190233078, 'learning_rate': 0.0024385790192389387, 'l2_reg': 0.00015665914614112784, 'batch_size_exp': 5, 'batch_size': 32}","[np.float64(0.012778160711802287), np.float64(0.012299843428464324), np.float64(0.026659204918049895), np.float64(0.01874328853472418), np.float64(0.01867876274124822)]",0.017831852066857782
22,"{'lookback': 16, 'filters': 42, 'kernel_size': 4, 'lstm_units': 116, 'dense_units': 26, 'dropout_rate': 0.38381850883645896, 'learning_rate': 0.0029405709458924607, 'l2_reg': 9.01920358758316e-05, 'batch_size_exp': 5, 'batch_size': 32}","[np.float64(0.01275519626233711), np.float64(0.012355154133320164), np.float64(0.02669970636399492), np.float64(0.01875211198757323), np.float64(0.01865239734222932)]",0.01784291321789095
23,"{'lookback': 14, 'filters': 37, 'kernel_size': 4, 'lstm_units': 107, 'dense_units': 32, 'dropout_rate': 0.28006191071369396, 'learning_rate': 0.0023014432187179047, 'l2_reg': 0.00012916123455963878, 'batch_size_exp': 5, 'batch_size': 32}","[np.float64(0.012777130040892077), np.float64(0.012392900691067351), np.float64(0.026677089302358518), np.float64(0.018732392509557463), np.float64(0.01867175004859643)]",0.01785025251849437
24,"{'lookback': 17, 'filters': 39, 'kernel_size': 4, 'lstm_units': 127, 'dense_units': 39, 'dropout_rate': 0.3676964855965576, 'learning_rate': 0.0019629631957342247, 'l2_reg': 0.00017983778608549319, 'batch_size_exp': 5, 'batch_size': 32}","[np.float64(0.012786070795495784), np.float64(0.012279322780745042), np.float64(0.0265738748427644), np.float64(0.018736813570982353), np.float64(0.018627770715858628)]",0.01780077054116924
25,"{'lookback': 19, 'filters': 39, 'kernel_size': 4, 'lstm_units': 130, 'dense_units': 35, 'dropout_rate': 0.4011007306893404, 'learning_rate': 0.001949271357347248, 'l2_reg': 0.000264965386558682, 'batch_size_exp': 5, 'batch_size': 32}","[np.float64(0.012897923051118577), np.float64(0.012293057443873056), np.float64(0.026580230433750553), np.float64(0.018741904334633627), np.float64(0.018716765902152682)]",0.017845976233105697
26,"{'lookback': 16, 'filters': 42, 'kernel_size': 4, 'lstm_units': 126, 'dense_units': 27, 'dropout_rate': 0.36884611114070337, 'learning_rate': 0.001560784416185171, 'l2_reg': 0.00018722780843513032, 'batch_size_exp': 5, 'batch_size': 32}","[np.float64(0.012826096095071734), np.float64(0.012292866975674036), np.float64(0.026717218633728265), np.float64(0.01885875595244577), np.float64(0.018651312670600557)]",0.01786925006550407
27,"{'lookback': 23, 'filters': 35, 'kernel_size': 3, 'lstm_units': 111, 'dense_units': 44, 'dropout_rate': 0.4340545966209248, 'learning_rate': 0.0026663479880326066, 'l2_reg': 0.00039627492559112063, 'batch_size_exp': 5, 'batch_size': 32}","[np.float64(0.012894370486059716), np.float64(0.012310987861080865), np.float64(0.026635693996888626), np.float64(0.018783979261358705), np.float64(0.01872519716542457)]",0.017870045754162494
28,"{'lookback': 14, 'filters': 39, 'kernel_size': 4, 'lstm_units': 135, 'dense_units': 32, 'dropout_rate': 0.3328913938925331, 'learning_rate': 0.0019518172157197147, 'l2_reg': 0.00016941693945278486, 'batch_size_exp': 5, 'batch_size': 32}","[np.float64(0.012725468978414447), np.float64(0.012280230217100733), np.float64(0.026667750736920418), np.float64(0.0187935840638248), np.float64(0.0186675403710208)]",0.01782691487345624
29,"{'lookback': 17, 'filters': 30, 'kernel_size': 4, 'lstm_units': 101, 'dense_units': 42, 'dropout_rate': 0.3570968542040292, 'learning_rate': 0.00331552844369771, 'l2_reg': 0.0002729141309895465, 'batch_size_exp': 4, 'batch_size': 16}","[np.float64(0.01280095455442078), np.float64(0.012245062317628905), np.float64(0.026625734634353946), np.float64(0.018749187377110933), np.float64(0.01861932823182308)]",0.017808053423067526
30,"{'lookback': 19, 'filters': 30, 'kernel_size': 2, 'lstm_units': 144, 'dense_units': 41, 'dropout_rate': 0.3592217206538742, 'learning_rate': 0.0032906184803811697, 'l2_reg': 0.0002873715849482957, 'batch_size_exp': 4, 'batch_size': 16}","[np.float64(0.012829765838438877), np.float64(0.012271156922377673), np.float64(0.026629481669129564), np.float64(0.018773360957133226), np.float64(0.018686789359384354)]",0.01783811094929274
31,"{'lookback': 17, 'filters': 25, 'kernel_size': 4, 'lstm_units': 99, 'dense_units': 46, 'dropout_rate': 0.37790804120334526, 'learning_rate': 0.0038739158295715377, 'l2_reg': 0.00022608609603809806, 'batch_size_exp': 4, 'batch_size': 16}","[np.float64(0.012799644529258304), np.float64(0.012263227358332556), np.float64(0.02663215508343731), np.float64(0.018733182821424138), np.float64(0.018680044556288276)]",0.01782165086974812
32,"{'lookback': 15, 'filters': 29, 'kernel_size': 4, 'lstm_units': 103, 'dense_units': 42, 'dropout_rate': 0.34586582396836496, 'learning_rate': 0.0032926684163731607, 'l2_reg': 0.0003682133653266025, 'batch_size_exp': 4, 'batch_size': 16}","[np.float64(0.012800039994180877), np.float64(0.012278135490529557), np.float64(0.02663047582952533), np.float64(0.018733750747481837), np.float64(0.01869718647148066)]",0.017827917706639655
33,"{'lookback': 17, 'filters': 23, 'kernel_size': 4, 'lstm_units': 104, 'dense_units': 40, 'dropout_rate': 0.396532040432785, 'learning_rate': 0.0029027755982515492, 'l2_reg': 0.00028428919892844795, 'batch_size_exp': 4, 'batch_size': 16}","[np.float64(0.012789001488838075), np.float64(0.012276244600552728), np.float64(0.02661688476909439), np.float64(0.018748986566836174), np.float64(0.018684528499257058)]",0.017823129184915684
34,"{'lookback': 19, 'filters': 31, 'kernel_size': 4, 'lstm_units': 99, 'dense_units': 43, 'dropout_rate': 0.37133617058498364, 'learning_rate': 0.002573960876319949, 'l2_reg': 0.0001650619300188954, 'batch_size_exp': 4, 'batch_size': 16}","[np.float64(0.012795777877865849), np.float64(0.012279859466475978), np.float64(0.026620170522509885), np.float64(0.0187683476745854), np.float64(0.018696536478372827)]",0.01783213840396199
