trial_number,params,fold_rmses,mean_rmse
14,"{'lookback': 49, 'filters': 67, 'kernel_size': 3, 'lstm_units': 33, 'dense_units': 63, 'dropout_rate': 0.36049117241691964, 'learning_rate': 5.18277885617295e-05, 'l2_reg': 3.2005806237981036e-05, 'batch_size_exp': 4, 'batch_size': 16}","[np.float64(0.0060536508356212925), np.float64(0.01084129816997845), np.float64(0.009779939598222204), np.float64(0.008076322869959025), np.float64(0.01016042517112564)]",0.008982327328981323
15,"{'lookback': 19, 'filters': 37, 'kernel_size': 3, 'lstm_units': 75, 'dense_units': 31, 'dropout_rate': 0.22819048414165793, 'learning_rate': 0.00044325049455460285, 'l2_reg': 0.00024519167346631957, 'batch_size_exp': 6, 'batch_size': 64}","[np.float64(0.00603938315794783), np.float64(0.010308368264557666), np.float64(0.00933169401605261), np.float64(0.007879908987453806), np.float64(0.010242965438743602)]",0.008760463972951103
16,"{'lookback': 21, 'filters': 35, 'kernel_size': 2, 'lstm_units': 112, 'dense_units': 43, 'dropout_rate': 0.4003988944050103, 'learning_rate': 0.002598677569646522, 'l2_reg': 6.676304568412656e-05, 'batch_size_exp': 6, 'batch_size': 64}","[np.float64(0.005954166172460579), np.float64(0.010334839813154419), np.float64(0.009385825082774382), np.float64(0.008035751619073241), np.float64(0.010204724913081912)]",0.008783061520108906
17,"{'lookback': 14, 'filters': 93, 'kernel_size': 3, 'lstm_units': 84, 'dense_units': 33, 'dropout_rate': 0.21090032990291507, 'learning_rate': 0.0007625344687909921, 'l2_reg': 0.0009964317229586512, 'batch_size_exp': 7, 'batch_size': 128}","[np.float64(0.00620623388338845), np.float64(0.010278778877005963), np.float64(0.009320703629425801), np.float64(0.007891765860984154), np.float64(0.010335521026493715)]",0.008806600655459618
18,"{'lookback': 39, 'filters': 60, 'kernel_size': 2, 'lstm_units': 129, 'dense_units': 38, 'dropout_rate': 0.3124159276690213, 'learning_rate': 0.0031435467621580213, 'l2_reg': 0.00028002029701973885, 'batch_size_exp': 6, 'batch_size': 64}","[np.float64(0.006001982461334366), np.float64(0.010432957673363063), np.float64(0.009327291846484075), np.float64(0.007887325935732152), np.float64(0.010145846029718866)]",0.008759080789326504
20,"{'lookback': 58, 'filters': 89, 'kernel_size': 2, 'lstm_units': 195, 'dense_units': 38, 'dropout_rate': 0.43702786067459065, 'learning_rate': 0.003964986177224439, 'l2_reg': 1.0835847514722128e-06, 'batch_size_exp': 7, 'batch_size': 128}","[np.float64(0.005962557833645221), np.float64(0.010338633071195593), np.float64(0.00932090051069813), np.float64(0.008089628372851668), np.float64(0.01023850316221954)]",0.00879004459012203
21,"{'lookback': 39, 'filters': 37, 'kernel_size': 3, 'lstm_units': 135, 'dense_units': 30, 'dropout_rate': 0.287679145603263, 'learning_rate': 0.0005227241554389569, 'l2_reg': 0.00028725457342645326, 'batch_size_exp': 6, 'batch_size': 64}","[np.float64(0.006006756093723703), np.float64(0.010323370140353545), np.float64(0.0093840435500781), np.float64(0.00798060920818281), np.float64(0.010151946753962785)]",0.008769345149260189
22,"{'lookback': 22, 'filters': 58, 'kernel_size': 2, 'lstm_units': 97, 'dense_units': 35, 'dropout_rate': 0.3294698616338686, 'learning_rate': 0.0012809004894698169, 'l2_reg': 0.00011743110970687302, 'batch_size_exp': 6, 'batch_size': 64}","[np.float64(0.006064249333411832), np.float64(0.01039721135518515), np.float64(0.00929854419182591), np.float64(0.007936386361963988), np.float64(0.010101183003449577)]",0.008759514849167292
23,"{'lookback': 24, 'filters': 56, 'kernel_size': 2, 'lstm_units': 102, 'dense_units': 36, 'dropout_rate': 0.3364802618478428, 'learning_rate': 0.0014979063059780957, 'l2_reg': 0.00013540863547697817, 'batch_size_exp': 5, 'batch_size': 32}","[np.float64(0.005900213928780807), np.float64(0.010367467971400717), np.float64(0.009398559925112905), np.float64(0.007879512174416526), np.float64(0.010252704502885769)]",0.008759691700519346
24,"{'lookback': 35, 'filters': 76, 'kernel_size': 2, 'lstm_units': 120, 'dense_units': 43, 'dropout_rate': 0.37921668915434315, 'learning_rate': 0.0053559728293062405, 'l2_reg': 6.421628652161074e-05, 'batch_size_exp': 6, 'batch_size': 64}","[np.float64(0.006062386012201477), np.float64(0.010294639277055597), np.float64(0.009409874961508444), np.float64(0.007919820578083563), np.float64(0.010203047328323287)]",0.008777953631434474
25,"{'lookback': 53, 'filters': 62, 'kernel_size': 2, 'lstm_units': 149, 'dense_units': 28, 'dropout_rate': 0.4316754076154601, 'learning_rate': 0.0017819799576217897, 'l2_reg': 0.00038886280238799737, 'batch_size_exp': 7, 'batch_size': 128}","[np.float64(0.006038118859134602), np.float64(0.010169243730111596), np.float64(0.009396133104655337), np.float64(0.00795452555285077), np.float64(0.010436353543656981)]",0.008798874958081859
26,"{'lookback': 45, 'filters': 76, 'kernel_size': 2, 'lstm_units': 54, 'dense_units': 35, 'dropout_rate': 0.323007060629123, 'learning_rate': 0.0009171346486716073, 'l2_reg': 0.0001091712574801064, 'batch_size_exp': 5, 'batch_size': 32}","[np.float64(0.006076009973181303), np.float64(0.010380783186552394), np.float64(0.009316641316678188), np.float64(0.007919575252208601), np.float64(0.010243737819573434)]",0.008787349509638784
27,"{'lookback': 30, 'filters': 43, 'kernel_size': 3, 'lstm_units': 92, 'dense_units': 40, 'dropout_rate': 0.4881062359838598, 'learning_rate': 0.004043003222784025, 'l2_reg': 0.00041898282667254247, 'batch_size_exp': 6, 'batch_size': 64}","[np.float64(0.00594741864264898), np.float64(0.010325810687893462), np.float64(0.009291578047452996), np.float64(0.00801024703109009), np.float64(0.010186991522646734)]",0.008752409186346451
28,"{'lookback': 29, 'filters': 43, 'kernel_size': 3, 'lstm_units': 85, 'dense_units': 50, 'dropout_rate': 0.49471005327317524, 'learning_rate': 0.004847019285041678, 'l2_reg': 0.0004620685920950436, 'batch_size_exp': 4, 'batch_size': 16}","[np.float64(0.006254147099485272), np.float64(0.01042279534120511), np.float64(0.009390323421694456), np.float64(0.007874959871548263), np.float64(0.010196266778870238)]",0.008827698502560669
30,"{'lookback': 31, 'filters': 44, 'kernel_size': 3, 'lstm_units': 147, 'dense_units': 16, 'dropout_rate': 0.4051852511441075, 'learning_rate': 0.0065057412946015695, 'l2_reg': 0.0006820963627071048, 'batch_size_exp': 7, 'batch_size': 128}","[np.float64(0.006012875584582051), np.float64(0.01029240224391009), np.float64(0.009383326189297398), np.float64(0.007903651744049575), np.float64(0.010279210130503981)]",0.008774293178468619
31,"{'lookback': 25, 'filters': 60, 'kernel_size': 2, 'lstm_units': 98, 'dense_units': 39, 'dropout_rate': 0.358651498526689, 'learning_rate': 0.0013376451545787597, 'l2_reg': 0.0003601179482407566, 'batch_size_exp': 6, 'batch_size': 64}","[np.float64(0.006071792775892824), np.float64(0.01037101185376017), np.float64(0.00929984765967155), np.float64(0.008038875046838586), np.float64(0.010183085743054241)]",0.008792922615843473
32,"{'lookback': 43, 'filters': 69, 'kernel_size': 2, 'lstm_units': 120, 'dense_units': 45, 'dropout_rate': 0.2846357952887386, 'learning_rate': 0.003212426374537923, 'l2_reg': 0.00016150289893949858, 'batch_size_exp': 6, 'batch_size': 64}","[np.float64(0.005970203613173691), np.float64(0.010365639768430301), np.float64(0.00952430539860929), np.float64(0.008001713031899277), np.float64(0.010212662046719206)]",0.008814904771766352
33,"{'lookback': 27, 'filters': 54, 'kernel_size': 2, 'lstm_units': 86, 'dense_units': 27, 'dropout_rate': 0.46327069861760184, 'learning_rate': 0.0005728098195360032, 'l2_reg': 0.0002743727589496012, 'batch_size_exp': 6, 'batch_size': 64}","[np.float64(0.005958866514195383), np.float64(0.010377275435183787), np.float64(0.00947480733410338), np.float64(0.008159999791761218), np.float64(0.010332711720017053)]",0.008860732159052165
34,"{'lookback': 33, 'filters': 18, 'kernel_size': 2, 'lstm_units': 54, 'dense_units': 35, 'dropout_rate': 0.3708717735981385, 'learning_rate': 0.009322015567788373, 'l2_reg': 0.0005386508268291766, 'batch_size_exp': 5, 'batch_size': 32}","[np.float64(0.005928486578428944), np.float64(0.010269518976595867), np.float64(0.009305254938205339), np.float64(0.007903364109643238), np.float64(0.01027113264960876)]",0.00873555145049643
35,"{'lookback': 32, 'filters': 19, 'kernel_size': 2, 'lstm_units': 46, 'dense_units': 22, 'dropout_rate': 0.3727547914864119, 'learning_rate': 0.008294843297624154, 'l2_reg': 0.0009351313389835018, 'batch_size_exp': 5, 'batch_size': 32}","[np.float64(0.005940649223009375), np.float64(0.010209097108749282), np.float64(0.009332609393829315), np.float64(0.00786118914538), np.float64(0.010200986790874557)]",0.008708906332368507
36,"{'lookback': 31, 'filters': 18, 'kernel_size': 5, 'lstm_units': 49, 'dense_units': 21, 'dropout_rate': 0.37747833561111305, 'learning_rate': 0.009259566063841903, 'l2_reg': 0.0009554182015184894, 'batch_size_exp': 5, 'batch_size': 32}","[np.float64(0.005934195960694987), np.float64(0.01024356575553689), np.float64(0.009318052243343176), np.float64(0.007858105623119555), np.float64(0.010256882208683918)]",0.008722160358275706
37,"{'lookback': 34, 'filters': 16, 'kernel_size': 5, 'lstm_units': 55, 'dense_units': 22, 'dropout_rate': 0.36918266853346393, 'learning_rate': 0.00941248606171946, 'l2_reg': 0.0008821901196082115, 'batch_size_exp': 5, 'batch_size': 32}","[np.float64(0.005939900818204408), np.float64(0.010251947620456938), np.float64(0.009314219233873874), np.float64(0.007872877588511452), np.float64(0.010183896842893054)]",0.008712568420787945
38,"{'lookback': 36, 'filters': 26, 'kernel_size': 5, 'lstm_units': 46, 'dense_units': 22, 'dropout_rate': 0.4066786013465185, 'learning_rate': 2.0980782563524167e-05, 'l2_reg': 0.0009591891011377021, 'batch_size_exp': 4, 'batch_size': 16}","[np.float64(0.006301824932879845), np.float64(0.01175096923625894), np.float64(0.00974926684480663), np.float64(0.008324004936173251), np.float64(0.010262838406412225)]",0.009277780871306178
39,"{'lookback': 43, 'filters': 16, 'kernel_size': 5, 'lstm_units': 68, 'dense_units': 20, 'dropout_rate': 0.42185640720073625, 'learning_rate': 0.00940741633537304, 'l2_reg': 0.0007112122865653019, 'batch_size_exp': 5, 'batch_size': 32}","[np.float64(0.005921463328370361), np.float64(0.010267179882748508), np.float64(0.009312655072347653), np.float64(0.007977845927789263), np.float64(0.010206341707462971)]",0.00873709718374375
40,"{'lookback': 34, 'filters': 30, 'kernel_size': 5, 'lstm_units': 49, 'dense_units': 24, 'dropout_rate': 0.3835703839930775, 'learning_rate': 0.006443774244856353, 'l2_reg': 0.0006139385270898015, 'batch_size_exp': 4, 'batch_size': 16}","[np.float64(0.005921220661513219), np.float64(0.01038087326609015), np.float64(0.009367640721333365), np.float64(0.007923035920756766), np.float64(0.010177605770093022)]",0.008754075267957306
41,"{'lookback': 31, 'filters': 21, 'kernel_size': 4, 'lstm_units': 58, 'dense_units': 19, 'dropout_rate': 0.36119276465459316, 'learning_rate': 0.009876886705114999, 'l2_reg': 0.0005810414682305841, 'batch_size_exp': 5, 'batch_size': 32}","[np.float64(0.005986769550905024), np.float64(0.010263183024473656), np.float64(0.009351742822816264), np.float64(0.007903078638011929), np.float64(0.010243457767654798)]",0.008749646360772334
42,"{'lookback': 32, 'filters': 20, 'kernel_size': 5, 'lstm_units': 44, 'dense_units': 16, 'dropout_rate': 0.3807154751923588, 'learning_rate': 0.006920232678564494, 'l2_reg': 0.0008801742024283046, 'batch_size_exp': 5, 'batch_size': 32}","[np.float64(0.00592034275252214), np.float64(0.010205947758681999), np.float64(0.009339157851104729), np.float64(0.008025809907427654), np.float64(0.010244367161314499)]",0.008747125086210204
43,"{'lookback': 37, 'filters': 30, 'kernel_size': 4, 'lstm_units': 71, 'dense_units': 26, 'dropout_rate': 0.3562340566633909, 'learning_rate': 0.009813913615250365, 'l2_reg': 0.0005856009464541396, 'batch_size_exp': 5, 'batch_size': 32}","[np.float64(0.005988584230357233), np.float64(0.010242267281939561), np.float64(0.009324275912609), np.float64(0.007872100698309063), np.float64(0.010184334515927769)]",0.008722312527828525
44,"{'lookback': 37, 'filters': 27, 'kernel_size': 4, 'lstm_units': 70, 'dense_units': 23, 'dropout_rate': 0.35185175711580297, 'learning_rate': 0.005135266077116063, 'l2_reg': 0.0007567348896402716, 'batch_size_exp': 5, 'batch_size': 32}","[np.float64(0.005926693495793609), np.float64(0.010215656734904724), np.float64(0.009391364341080883), np.float64(0.007903730669744629), np.float64(0.010257413239508503)]",0.008738971696206469
45,"{'lookback': 40, 'filters': 32, 'kernel_size': 5, 'lstm_units': 40, 'dense_units': 26, 'dropout_rate': 0.4130076229483113, 'learning_rate': 0.0001437275492280517, 'l2_reg': 1.2833104323878087e-05, 'batch_size_exp': 4, 'batch_size': 16}","[np.float64(0.006025760606493749), np.float64(0.010811160922215094), np.float64(0.009323359202893875), np.float64(0.00791484933758372), np.float64(0.010167784766850006)]",0.00884858296720729
46,"{'lookback': 28, 'filters': 22, 'kernel_size': 5, 'lstm_units': 60, 'dense_units': 28, 'dropout_rate': 0.4602869619207969, 'learning_rate': 8.82254584757801e-05, 'l2_reg': 0.0005100218412255845, 'batch_size_exp': 5, 'batch_size': 32}","[np.float64(0.005989674889711393), np.float64(0.01057447008988694), np.float64(0.00938291467535545), np.float64(0.008161855143998403), np.float64(0.010333831096858075)]",0.008888549179162052
47,"{'lookback': 47, 'filters': 16, 'kernel_size': 4, 'lstm_units': 71, 'dense_units': 21, 'dropout_rate': 0.3916304468697535, 'learning_rate': 0.00611344041133064, 'l2_reg': 0.0009769859905865916, 'batch_size_exp': 5, 'batch_size': 32}","[np.float64(0.006001267244889728), np.float64(0.010271343724030583), np.float64(0.009330658117390849), np.float64(0.007995492673467336), np.float64(0.010270892203861787)]",0.008773930792728056
48,"{'lookback': 37, 'filters': 31, 'kernel_size': 4, 'lstm_units': 35, 'dense_units': 18, 'dropout_rate': 0.350864687754622, 'learning_rate': 0.007708925920564626, 'l2_reg': 0.00018227083047343872, 'batch_size_exp': 4, 'batch_size': 16}","[np.float64(0.005959048711696808), np.float64(0.010176069767379087), np.float64(0.009353335959230668), np.float64(0.007934360813933231), np.float64(0.010183335534159144)]",0.008721230157279786
49,"{'lookback': 37, 'filters': 30, 'kernel_size': 4, 'lstm_units': 33, 'dense_units': 18, 'dropout_rate': 0.3426162002766485, 'learning_rate': 0.008041093428795417, 'l2_reg': 0.0002100557689273148, 'batch_size_exp': 4, 'batch_size': 16}","[np.float64(0.005932180754530055), np.float64(0.010284777511483123), np.float64(0.00932343220281974), np.float64(0.007872770624376996), np.float64(0.010173165658589313)]",0.008717265350359845
50,"{'lookback': 27, 'filters': 39, 'kernel_size': 4, 'lstm_units': 33, 'dense_units': 17, 'dropout_rate': 0.2977349004872155, 'learning_rate': 0.007269673288413251, 'l2_reg': 0.00019358032835799146, 'batch_size_exp': 4, 'batch_size': 16}","[np.float64(0.005961115303789218), np.float64(0.010289749633630836), np.float64(0.009445200184506399), np.float64(0.007876857316771568), np.float64(0.010179483541722573)]",0.008750481196084119
51,"{'lookback': 35, 'filters': 31, 'kernel_size': 4, 'lstm_units': 39, 'dense_units': 19, 'dropout_rate': 0.3503078446855588, 'learning_rate': 0.008204161288520674, 'l2_reg': 5.529888348183689e-06, 'batch_size_exp': 4, 'batch_size': 16}","[np.float64(0.005918593823976971), np.float64(0.010263790271648967), np.float64(0.009323833047228829), np.float64(0.00787142690312035), np.float64(0.010192572249889882)]",0.008714043259173
52,"{'lookback': 34, 'filters': 23, 'kernel_size': 4, 'lstm_units': 41, 'dense_units': 19, 'dropout_rate': 0.33814332251495127, 'learning_rate': 0.004515151786703729, 'l2_reg': 2.8846698964309095e-06, 'batch_size_exp': 4, 'batch_size': 16}","[np.float64(0.005958807747205107), np.float64(0.010281400899298323), np.float64(0.009317105797637752), np.float64(0.00788932364016234), np.float64(0.010172519103198363)]",0.008723831437500378
53,"{'lookback': 38, 'filters': 28, 'kernel_size': 4, 'lstm_units': 32, 'dense_units': 18, 'dropout_rate': 0.27141954404053925, 'learning_rate': 0.007765038190507602, 'l2_reg': 4.077585724240555e-05, 'batch_size_exp': 4, 'batch_size': 16}","[np.float64(0.006024941473014866), np.float64(0.010311488202493528), np.float64(0.009336483714806209), np.float64(0.007992618311993147), np.float64(0.01017812461436044)]",0.008768731263333638
54,"{'lookback': 42, 'filters': 33, 'kernel_size': 4, 'lstm_units': 47, 'dense_units': 21, 'dropout_rate': 0.30635856816951357, 'learning_rate': 0.0022070916360230034, 'l2_reg': 6.445087087888113e-06, 'batch_size_exp': 4, 'batch_size': 16}","[np.float64(0.006014633754664024), np.float64(0.010321657474431799), np.float64(0.009350875392097807), np.float64(0.007909466426862008), np.float64(0.010182133973497537)]",0.008755753404310635
