trial_number,params,fold_rmses,mean_rmse
14,"{'lookback': 13, 'filters': 37, 'kernel_size': 2, 'lstm_units': 126, 'dense_units': 48, 'dropout_rate': 0.2494585695399357, 'learning_rate': 0.0047507065749445914, 'l2_reg': 6.141318247952729e-05, 'batch_size_exp': 5, 'batch_size': 32}","[np.float64(0.012933017024832622), np.float64(0.012332911533618181), np.float64(0.026517977306115117), np.float64(0.018819786260309355), np.float64(0.018755624965520305)]",0.017871863418079115
15,"{'lookback': 26, 'filters': 54, 'kernel_size': 3, 'lstm_units': 91, 'dense_units': 37, 'dropout_rate': 0.3216906186062589, 'learning_rate': 0.0019426990556441549, 'l2_reg': 0.0007969509939402886, 'batch_size_exp': 6, 'batch_size': 64}","[np.float64(0.012773217899263337), np.float64(0.012272772222882592), np.float64(0.02663447123883926), np.float64(0.0187714619468141), np.float64(0.018721870081684203)]",0.017834758677896696
16,"{'lookback': 27, 'filters': 55, 'kernel_size': 2, 'lstm_units': 95, 'dense_units': 38, 'dropout_rate': 0.4640414779240689, 'learning_rate': 0.0008293634325061932, 'l2_reg': 0.0007563116072613756, 'batch_size_exp': 7, 'batch_size': 128}","[np.float64(0.01407009453596857), np.float64(0.012282978231474588), np.float64(0.026619026312335193), np.float64(0.01881243403577186), np.float64(0.018731784675692767)]",0.018103263558248595
17,"{'lookback': 25, 'filters': 54, 'kernel_size': 3, 'lstm_units': 135, 'dense_units': 37, 'dropout_rate': 0.42754934589804866, 'learning_rate': 0.005282579475706293, 'l2_reg': 0.000797684662997022, 'batch_size_exp': 6, 'batch_size': 64}","[np.float64(0.01279634579925565), np.float64(0.012276563032549823), np.float64(0.026624263404888226), np.float64(0.01873612844265825), np.float64(0.018791071604165866)]",0.017844874456703564
18,"{'lookback': 24, 'filters': 49, 'kernel_size': 2, 'lstm_units': 109, 'dense_units': 16, 'dropout_rate': 0.33043710462671, 'learning_rate': 0.0019113118011994709, 'l2_reg': 0.00030590201609588806, 'batch_size_exp': 7, 'batch_size': 128}","[np.float64(0.012757143528625822), np.float64(0.012887174409215293), np.float64(0.027020086713935795), np.float64(0.01884386161103946), np.float64(0.01899838999572326)]",0.018101331251707924
19,"{'lookback': 20, 'filters': 37, 'kernel_size': 3, 'lstm_units': 93, 'dense_units': 47, 'dropout_rate': 0.18220766412393896, 'learning_rate': 0.0006631498361899898, 'l2_reg': 7.3005709013307e-05, 'batch_size_exp': 6, 'batch_size': 64}","[np.float64(0.012808327147499927), np.float64(0.012260696001489862), np.float64(0.02691986840535904), np.float64(0.018723136041350712), np.float64(0.018781929822276493)]",0.017898791483595206
20,"{'lookback': 19, 'filters': 52, 'kernel_size': 3, 'lstm_units': 154, 'dense_units': 36, 'dropout_rate': 0.32528475647920063, 'learning_rate': 0.003083157473528667, 'l2_reg': 1.0522422498957395e-05, 'batch_size_exp': 7, 'batch_size': 128}","[np.float64(0.013085251883002528), np.float64(0.012390833696858913), np.float64(0.026743568978387446), np.float64(0.01879014754297226), np.float64(0.018818132651096768)]",0.01796558695046358
21,"{'lookback': 12, 'filters': 42, 'kernel_size': 3, 'lstm_units': 71, 'dense_units': 30, 'dropout_rate': 0.3039598125914502, 'learning_rate': 0.001573359733316613, 'l2_reg': 0.00019098215843305695, 'batch_size_exp': 6, 'batch_size': 64}","[np.float64(0.012760635223914173), np.float64(0.012374414741446627), np.float64(0.02691444714684094), np.float64(0.01895201150706649), np.float64(0.018807748348532955)]",0.017961851393560234
22,"{'lookback': 28, 'filters': 44, 'kernel_size': 3, 'lstm_units': 86, 'dense_units': 27, 'dropout_rate': 0.25497290622466007, 'learning_rate': 0.0027336021249772463, 'l2_reg': 0.0004217078865139421, 'batch_size_exp': 5, 'batch_size': 32}","[np.float64(0.012831285813488717), np.float64(0.012254699949247078), np.float64(0.026553687933198143), np.float64(0.01873939272111521), np.float64(0.01877619742252038)]",0.017831052767913906
23,"{'lookback': 26, 'filters': 59, 'kernel_size': 4, 'lstm_units': 84, 'dense_units': 27, 'dropout_rate': 0.2504789971779854, 'learning_rate': 0.005445039978295801, 'l2_reg': 0.00035537720104941755, 'batch_size_exp': 5, 'batch_size': 32}","[np.float64(0.012839228074168152), np.float64(0.012243966768428332), np.float64(0.026635881034824394), np.float64(0.018769842168766617), np.float64(0.01873010380000183)]",0.017843804369237864
24,"{'lookback': 28, 'filters': 46, 'kernel_size': 2, 'lstm_units': 100, 'dense_units': 19, 'dropout_rate': 0.2141214683367696, 'learning_rate': 0.0029441609475755566, 'l2_reg': 0.0007898106695900397, 'batch_size_exp': 5, 'batch_size': 32}","[np.float64(0.012836677914250366), np.float64(0.01225897433818359), np.float64(0.026642521169227076), np.float64(0.0187413456096343), np.float64(0.01868648655554187)]",0.017833201117367442
