seed,best_epoch,best_loss,best_val_loss,evaluation_mode,rmse_test,r2_test
0,17,0.004057147987769529,0.004507238173629253,heldout_test,0.6690680212582685,0.9291897227993646
1,15,0.0038102473357099305,0.004509425799672802,heldout_test,0.6690273805525415,0.9291983248910662
2,9,0.004586903268800062,0.004517845711259007,heldout_test,0.6721977502721825,0.9285257086610635
42,15,0.004050869382283086,0.0045198020620309575,heldout_test,0.6717381232645719,0.9286234188460086
99,13,0.003934113690533947,0.004510783686993175,heldout_test,0.6690260206022837,0.9291986127317773
123,15,0.004222901624103053,0.004516870245895013,heldout_test,0.6706753601447623,0.9288490912885505
