trial_number,params,fold_rmses,mean_rmse
14,"{'lookback': 38, 'filters': 39, 'kernel_size': 3, 'lstm_units': 50, 'dense_units': 40, 'dropout_rate': 0.3393372091054381, 'learning_rate': 0.0028905440669144684, 'l2_reg': 0.00027854992432006375, 'batch_size_exp': 4, 'batch_size': 16}","[np.float64(0.0062901188031394255), np.float64(0.00622796974028301), np.float64(0.012149575951901345), np.float64(0.008832815648180519), np.float64(0.007622676638347322)]",0.008224631356370323
15,"{'lookback': 23, 'filters': 48, 'kernel_size': 2, 'lstm_units': 61, 'dense_units': 35, 'dropout_rate': 0.3388577893622003, 'learning_rate': 0.00930395649576736, 'l2_reg': 0.0002312624815005732, 'batch_size_exp': 5, 'batch_size': 32}","[np.float64(0.006261485514303916), np.float64(0.006265365271019414), np.float64(0.01216330515217273), np.float64(0.008817509608909388), np.float64(0.007555108007207348)]",0.00821255471072256
16,"{'lookback': 22, 'filters': 51, 'kernel_size': 2, 'lstm_units': 63, 'dense_units': 32, 'dropout_rate': 0.3523464590216153, 'learning_rate': 0.002705899095410388, 'l2_reg': 0.0002225032294726239, 'batch_size_exp': 5, 'batch_size': 32}","[np.float64(0.0062754886295401805), np.float64(0.006289840464777923), np.float64(0.01216287142729896), np.float64(0.008868457359799152), np.float64(0.007634059562259781)]",0.008246143488735199
17,"{'lookback': 37, 'filters': 50, 'kernel_size': 2, 'lstm_units': 57, 'dense_units': 33, 'dropout_rate': 0.2940548179158332, 'learning_rate': 0.0060120388053411635, 'l2_reg': 5.7165300805972185e-05, 'batch_size_exp': 6, 'batch_size': 64}","[np.float64(0.0062508577515527535), np.float64(0.006288002793953091), np.float64(0.012151965228347857), np.float64(0.008847144252016095), np.float64(0.007547154543368242)]",0.008217024913847609
18,"{'lookback': 18, 'filters': 44, 'kernel_size': 2, 'lstm_units': 69, 'dense_units': 35, 'dropout_rate': 0.42658210337885877, 'learning_rate': 0.006582148295489146, 'l2_reg': 0.00017735012520308895, 'batch_size_exp': 5, 'batch_size': 32}","[np.float64(0.006259534573748176), np.float64(0.006276979547374143), np.float64(0.012152460513392796), np.float64(0.008818187318223938), np.float64(0.007582579531987579)]",0.008217948296945327
19,"{'lookback': 23, 'filters': 56, 'kernel_size': 2, 'lstm_units': 89, 'dense_units': 29, 'dropout_rate': 0.35789814230855654, 'learning_rate': 0.0036701767850025884, 'l2_reg': 0.0003639307893295896, 'batch_size_exp': 4, 'batch_size': 16}","[np.float64(0.006254459118141399), np.float64(0.006290908117878428), np.float64(0.012175064045323756), np.float64(0.008848085723935464), np.float64(0.007579782582683481)]",0.008229659917592506
20,"{'lookback': 39, 'filters': 36, 'kernel_size': 3, 'lstm_units': 38, 'dense_units': 37, 'dropout_rate': 0.3139511833176596, 'learning_rate': 0.0007465011552650818, 'l2_reg': 9.926864482155206e-05, 'batch_size_exp': 5, 'batch_size': 32}","[np.float64(0.0063385250469231835), np.float64(0.006342056278171497), np.float64(0.012353801427297372), np.float64(0.00885441806679534), np.float64(0.007559518563112883)]",0.008289663876460057
21,"{'lookback': 25, 'filters': 27, 'kernel_size': 3, 'lstm_units': 53, 'dense_units': 44, 'dropout_rate': 0.2599437044717095, 'learning_rate': 0.009748216012683525, 'l2_reg': 0.0007447089149687295, 'batch_size_exp': 4, 'batch_size': 16}","[np.float64(0.006285306413040942), np.float64(0.006273631880608755), np.float64(0.012162535321306053), np.float64(0.008819934746341095), np.float64(0.007576743857367482)]",0.008223630443732866
22,"{'lookback': 29, 'filters': 42, 'kernel_size': 3, 'lstm_units': 41, 'dense_units': 46, 'dropout_rate': 0.3700915745435082, 'learning_rate': 0.006675742595286922, 'l2_reg': 0.0005832793678771432, 'batch_size_exp': 4, 'batch_size': 16}","[np.float64(0.006254095069637027), np.float64(0.006239826075733855), np.float64(0.01216008574832084), np.float64(0.008812092199281862), np.float64(0.007586287030234581)]",0.008210477224641634
23,"{'lookback': 20, 'filters': 42, 'kernel_size': 4, 'lstm_units': 39, 'dense_units': 45, 'dropout_rate': 0.37387023592780566, 'learning_rate': 0.006815205544852996, 'l2_reg': 0.00027403298010767564, 'batch_size_exp': 4, 'batch_size': 16}","[np.float64(0.006259339980583085), np.float64(0.006224356963047942), np.float64(0.012159986024041149), np.float64(0.008864995882423178), np.float64(0.007632088803115626)]",0.008228153530642195
